Sub	Age	Version	Gender	cubes_acc1	cubes_acc2	objects_acc1	objects_acc2	bodies_acc1	bodies_acc2	cubes_rt1	cubes_rt2	objects_rt1	objects_rt2	bodies_rt1	bodies_rt2	cubes_acc	objects_acc	bodies_acc	total_score	cubes_rt	objects_rt	bodies_rt	mean_rt	ST_score	st_score_group	ST_rt	st_speed_group	object_scale	object_scale_group	spatial_scale	spatial_scale_group	Verbal scale	OSIQV_style	CFS_score	CFS_group	reflection_score	rumination_score	preoccupation_score
1	35	A	F	0.7	0.9	0.76	0.63	0.87	0.73	2.71	2.58	1.71	1.96	2.54	1.98	0.9	0.7	0.8	0.765	2.65	1.84	3.53	2.673333333	242	low	312	fast	64	high	51	high	33	object	54	high	11	6	7
2	21	A	M	0.6	0.96	0.97	0.97	0.87	0.9	2.35	2.12	0.89	0.95	1.74	1.84	0.78	0.97	0.88	0.878333333	2.24	0.92	2.66	1.94	184	low	399	fast	63	high	60	high	45	object	53	low	6	5	5
3	21	A	M	0.77	0.8	0.97	0.97	0.87	0.93	2.03	2.14	1.38	1.03	1.91	1.7	0.78	0.97	0.9	0.885	2.09	1.21	2.76	2.02	405	high	364	fast	50	low	34	low	32	object	48	low	5	5	5
4	20	A	F	0.74	0.5	0.87	0.87	0.67	0.84	1.58	2.72	1.42	1.46	1.64	1.29	0.78	0.87	0.75	0.748333333	2.15	1.44	2.29	1.96	420	high	460	slow	62	high	48	high	45	object	52	low	16	13	8
5	28	A	M	0.74	0.93	0.8	0.9	0.9	0.9	1.67	1.13	1.32	1.31	1.12	1.07	0.83	0.85	0.9	0.861666667	1.4	1.32	1.66	1.46	202	low	545	slow	62	high	55	high	53	object	56	high	11	6	7
6	27	A	F	0.77	0.8	0.87	0.77	0.9	0.8	1.55	1.31	1.03	0.84	1.18	0.99	0.78	0.82	0.85	0.818333333	1.43	0.94	1.68	1.35	415	high	482	slow	45	low	34	low	43	object	48	low	15	11	15
7	27	A	M	0.83	0.93	0.93	0.93	0.97	0.93	2.48	2.54	2.08	1.89	2.08	2.28	0.88	0.93	0.95	0.92	2.51	1.99	3.22	2.573333333	319	low	292	fast	56	high	43	low	42	object	52	low	6	6	5
8	22	A	F	0.53	0.5	0.8	0.9	0.67	0.87	2.53	1.95	1.33	0.97	1.57	1.87	0.52	0.85	0.77	0.711666667	2.24	1.15	2.51	1.966666667	559	high	403	fast	40	low	28	low	44	object	55	high	6	7	7
9	28	A	F	0.53	0.73	0.83	0.97	0.73	0.83	1.63	1.77	1.42	1.44	1.8	1.74	0.63	0.9	0.78	0.77	1.7	1.43	2.67	1.933333333	649	high	660	slow	41	low	32	low	44	object	50	low	12	7	6
10	19	A	F	0.97	0.97	0.9	0.97	0.97	0.97	1.85	0.93	0.61	0.45	0.76	0.61	0.97	0.93	0.97	0.958333333	1.39	0.53	1.07	0.996666667	516	high	450	slow	55	high	42	low	45	object	55	high	9	9	8
